1981/9/15	12:03.9	130.67	-6.37	86	5.9	0	327	55	143	81	60	41	1.615	-2.211	0.596	0.66	0.963	1.559	203	3	-2.92	111	41	0.3	297	49	2.62	2.77	24	B091581A	5.56	5.564986513
1981/9/20	00:02.8	129.52	-6.79	173	5.6	0	300	57	152	46	67	36	0.614	-1.383	0.769	0.106	0.726	-0.254	171	6	-1.43	75	48	0.01	267	41	1.43	1.43	24	B092081C	5.37	5.373557358
1981/10/17	44:53.5	129.03	-7.12	165	6.1	0	292	51	148	44	66	44	2.433	-4.206	1.773	0.403	2.944	-1.214	165	9	-4.6	67	41	-0.49	265	47	5.09	4.85	25	B101781A	6.39	6.393827826
1981/12/2	01:53.9	88.39	-15.82	10	5.7	5.5	195	52	33	83	65	137	3.569	-2.727	-0.842	2.153	-0.361	-5.087	141	8	-7.15	238	41	1.93	43	48	5.23	6.19	24	B120281D	5.8	5.797793766
1981/12/23	30:01.5	150.66	-3.7	436	5.5	0	72	55	140	188	58	42	5.988	-1.838	-4.15	3.97	-3.876	-6.597	309	2	-9.7	218	39	-0.8	41	51	10.5	10.1	24	B122381A	5.94	5.939547583
1982/2/23	11:04.8	177.37	-3.39	16	5.4	4.9	78	56	26	333	68	143	1.244	-1.713	0.469	-0.435	0.343	1.637	28	8	-2.66	127	48	1.24	291	41	1.43	2.05	24	B022382A	5.48	5.477835907
1982/3/4	41:03.1	-88.99	13.26	76	5.2	0	264	40	30	150	71	126	1.093	-1.311	0.218	0.835	-1.01	1.644	214	18	-2.77	317	34	0.98	101	50	1.78	2.27	24	B030482B	5.51	5.507350571
1982/3/10	58:43.5	-27.26	-56.01	104	6	0	168	42	145	285	68	53	4.557	-1.715	-2.842	-5.349	-1.541	4.259	41	15	-7.2	301	34	-1.52	150	52	8.71	7.96	25	B031082A	6.54	6.537275378
1982/6/11	57:33.6	-64.38	18.75	48	5.2	0	105	49	27	357	70	136	2.786	-0.564	-2.222	1.8	3.655	4.328	56	13	-6.17	158	42	-0.55	313	45	6.73	6.45	23	B061182D	5.14	5.14303981
1982/7/7	42:56.8	177.47	-3.25	33	5.3	5.4	281	50	26	173	70	137	4.073	-1.023	-3.05	0.209	-3.543	6.639	231	12	-9.36	333	43	2.58	129	44	6.78	8.07	23	B070782B	5.21	5.20791569
1982/7/14	42:13.5	143.36	45.64	325	5.3	0	58	51	154	165	70	42	0.738	0.526	-1.264	0.835	-0.774	-0.877	287	11	-1.7	186	44	-0.2	28	43	1.9	1.8	24	B071482A	5.44	5.44018167
1982/9/4	08:08.9	-173.22	-15.33	33	5.8	6.3	261	46	152	11	70	48	1.155	-0.768	-0.387	-0.639	1.756	-1.558	131	15	-2.33	28	39	-0.53	237	47	2.86	2.6	25	C090482A	6.21	6.213315565
1982/9/13	08:51.7	177.58	-3.51	33	5.2	5.1	279	48	34	165	65	132	0.958	-0.561	-0.397	-0.081	-0.782	1.25	226	10	-1.82	324	38	0.28	123	50	1.54	1.68	24	B091382A	5.42	5.420206188
1982/9/25	08:06.8	129.8	-7.1	94	5.5	0	93	55	28	346	67	142	4.378	-3.485	-0.893	1.03	3.838	7.147	42	7	-9.66	139	46	1.24	305	43	8.42	9.04	23	B092582B	5.24	5.240778954
1982/10/2	26:25.5	167.28	-14.74	152	5.5	0	190	51	147	303	65	44	0.74	0.305	-1.044	-0.629	0.058	0.751	64	9	-1.43	326	40	0.16	163	48	1.26	1.34	25	B100282A	6.02	6.021403199
1982/12/16	56:38.0	92.99	11.69	86	5.3	0	268	52	30	158	67	138	1.29	-1.477	0.187	-0.579	-1.829	1.678	216	9	-2.59	315	43	-0.55	117	46	3.14	2.87	24	B121682B	5.58	5.575254598
1982/12/17	43:01.9	122.62	24.64	73	6.2	0	54	49	152	163	69	44	2.867	2.047	-4.914	2.758	-2.713	-2.66	284	12	-6.18	183	42	-0.32	27	45	6.51	6.34	25	B121782A	6.47	6.471392839
1982/12/18	41:16.6	126.63	1.75	47	5.6	5.1	22	56	154	127	69	37	1.977	1.904	-3.881	1.37	-0.543	1.855	252	8	-4.55	153	48	1.11	349	40	3.44	4	24	B121882A	5.67	5.671373328
