date time lon lat dep Mb Ms strike1 dip1 rake1 strike2 dip2 rake2  mrr mtt mpp mrt mrp mtp p_trend p_plu p_eigen b_trend b_plu b_eigen t_trend t_plu t_eigen scale exponent event_name 
2015/01/08 23:51:45.2 -132.78 -54.52 10.0 0.0 5.4 204 85 -175 114 85 -5 0.008 1.260 -1.260 -0.084 0.217 1.150 159 0 1.706 249 82 0.040 69 8 -1.737 1.721 24 C201501082351A 
2015/01/09 00:04:55.9 -134.03 -54.19 10.0 0.0 5.1 114 76 -3 205 87 -166 -0.152 0.893 -0.741 0.100 0.241 0.716 339 8 1.186 217 76 -0.135 70 12 -1.051 1.119 24 C201501090004A 
2015/01/09 22:59:11.9 96.10 2.59 49.9 0.0 5.1 108 56 -147 358 64 -39 -3.430 0.156 3.280 -1.100 -1.840 -4.880 55 5 6.912 149 44 -1.486 320 46 -5.420 6.166 23 C201501092259A 
2015/01/10 02:05:46.3 68.36 -5.66 10.0 0.0 5.6 44 83 0 314 90 173 -0.582 -3.490 4.080 -0.255 0.415 -0.125 269 5 4.119 133 83 -0.598 359 5 -3.513 3.816 24 C201501100205A 
2015/01/10 03:14:34.9 -172.99 -15.87 36.5 0.0 5.1 260 35 -168 161 83 -55 -1.030 1.960 -0.929 -1.080 4.070 -2.660 223 29 5.283 336 34 -0.042 103 41 -5.240 5.262 23 C201501100314A 
2015/01/10 06:51:02.6 77.26 40.11 47.8 0.0 5.1 227 17 57 81 76 99 2.440 -2.000 -0.443 4.470 0.449 -1.090 4 58 5.218 259 9 -0.157 164 30 -5.064 5.141 23 C201501100651A 
2015/01/10 17:03:07.6 51.82 28.72 8.7 0.0 5.0 219 65 177 311 87 25 0.528 1.540 -2.070 -0.452 0.728 0.392 178 20 1.716 317 65 0.606 82 15 -2.324 2.020 23 C201501101703A 
2015/01/10 17:55:02.6 -68.53 -21.63 108.8 0.0 5.5 117 35 -122 334 61 -70 -1.390 0.697 0.694 0.118 -0.916 -0.851 49 14 1.728 144 18 0.025 283 67 -1.752 1.740 24 C201501101755A 
2015/01/10 19:32:00.3 120.25 14.77 59.0 0.0 5.9 192 55 -158 89 72 -37 -2.650 2.390 0.259 -3.860 2.010 5.850 144 11 7.586 246 49 0.256 45 39 -7.843 7.715 24 C201501101932A 
2015/01/11 08:39:26.5 154.30 -3.58 56.8 0.0 5.1 176 60 152 282 66 33 1.930 -0.484 -1.450 -1.740 -1.030 3.570 141 40 4.308 314 50 0.280 48 4 -4.592 4.450 23 C201501110839A 
2015/01/11 08:42:00.0 -12.75 -22.25 10.0 0.0 4.9 199 25 -82 10 65 -94 -2.620 1.280 1.330 -0.121 -1.680 0.114 103 20 1.980 12 3 1.250 273 70 -3.239 2.609 23 C201501110842A 
2015/01/11 08:47:59.8 -34.83 52.78 10.0 0.0 4.7 325 46 -123 187 52 -61 -2.420 0.011 2.410 1.080 0.540 -0.651 257 3 2.590 349 23 0.344 159 67 -2.933 2.761 23 C201501110848A 
2015/01/11 10:42:56.0 170.25 -21.75 10.0 0.0 4.8 275 43 65 128 52 112 2.710 -2.410 -0.296 0.052 -1.000 0.985 99 72 3.023 294 17 -0.188 203 5 -2.831 2.927 23 C201501111042A 
2015/01/11 18:47:21.0 -14.48 -16.83 10.0 0.0 4.9 342 45 -75 142 47 -105 -2.900 0.563 2.340 -0.537 -0.134 -1.320 242 1 3.046 152 11 -0.039 339 79 -3.004 3.025 23 C201501111847A 
2015/01/11 20:16:60.0 -14.09 -17.16 10.0 0.0 4.7 315 35 -66 106 59 -106 -3.980 2.530 1.450 -2.120 -0.341 -1.280 208 13 3.733 115 14 0.956 339 71 -4.689 4.211 23 C201501112017A 
2015/01/11 20:34:32.8 7.92 77.33 10.0 0.0 5.4 217 31 -77 21 60 -98 -5.840 0.681 5.150 -0.985 -3.450 3.360 117 14 7.853 25 7 -1.028 271 74 -6.833 7.343 23 C201501112034A 
2015/01/11 21:39:37.0 -74.14 -16.03 41.0 0.0 4.9 284 33 -104 120 58 -81 -2.550 2.860 -0.311 -1.220 0.814 -1.660 204 13 3.893 296 8 -0.985 56 75 -2.909 3.401 23 C201501112139A 
2015/01/12 00:19:57.1 66.33 -20.04 10.0 0.0 5.0 324 33 -113 171 60 -76 -3.950 1.030 2.920 0.443 2.200 -1.140 250 14 3.899 343 12 0.794 114 71 -4.693 4.296 23 C201501120019A 
2015/01/12 00:38:40.0 -15.50 -44.50 10.0 0.0 5.1 329 37 -86 144 53 -93 -3.570 1.220 2.360 -0.675 0.687 -1.360 236 8 3.393 146 2 0.323 38 82 -3.707 3.550 23 C201501120038A 
2015/01/12 00:59:17.7 -98.05 16.22 5.6 0.0 5.0 327 34 111 122 59 77 2.650 -1.290 -1.360 1.340 -0.290 1.040 359 73 3.063 129 11 -0.439 222 13 -2.624 2.843 23 C201501120059A 
2015/01/12 03:04:20.3 -14.37 -16.85 10.0 0.0 5.0 353 51 -53 122 51 -127 -4.040 0.889 3.150 -2.120 -1.330 -2.420 237 0 4.691 147 28 0.676 328 62 -5.368 5.029 23 C201501120304A 
2015/01/12 05:41:51.9 -14.42 -16.79 10.0 0.0 4.9 157 37 -51 291 62 -116 -2.670 1.180 1.490 2.050 0.413 -1.210 39 14 2.811 304 23 0.893 158 63 -3.704 3.257 23 C201501120541A 
2015/01/12 07:57:27.1 -93.38 15.48 75.0 0.0 5.5 136 34 -79 302 57 -97 -1.890 1.180 0.713 0.801 -0.353 -1.060 38 12 2.207 306 6 -0.115 189 77 -2.090 2.149 24 C201501120757A 
2015/01/12 10:23:54.9 170.55 -21.76 108.9 0.0 4.7 70 35 -57 211 61 -111 -1.570 0.971 0.597 0.412 0.972 1.460 317 13 2.483 222 18 -0.534 81 67 -1.951 2.217 23 C201501121023A 
2015/01/12 12:39:09.0 142.05 35.80 34.5 0.0 4.9 210 27 84 37 63 93 3.520 -1.100 -2.420 1.620 1.980 -1.550 314 72 4.365 216 3 -0.087 125 18 -4.277 4.321 23 C201501121239A 
2015/01/12 12:54:48.0 -14.25 -16.75 10.0 0.0 4.9 126 40 -124 347 58 -65 -2.450 1.130 1.320 -0.836 -1.360 -0.670 59 9 1.983 153 21 1.144 306 67 -3.127 2.555 23 C201501121254A 
2015/01/12 20:25:14.2 133.92 -5.59 20.9 0.0 5.6 35 35 -79 201 56 -98 -3.270 0.684 2.580 0.228 1.300 1.430 297 10 3.579 206 6 -0.037 85 78 -3.547 3.563 24 C201501122025A 
2015/01/12 21:39:16.7 36.31 25.06 10.0 0.0 4.2 331 35 -105 169 57 -80 -3.290 0.819 2.470 0.226 1.360 -0.761 252 11 2.998 344 9 0.630 111 76 -3.629 3.313 23 C201501122139A 
2015/01/13 01:01:37.4 148.02 17.72 34.2 0.0 4.7 15 43 -55 151 56 -118 -2.540 -0.281 2.820 -1.320 0.484 -0.365 261 7 2.943 167 23 0.218 7 66 -3.162 3.052 23 C201501130101A 
2015/01/13 05:26:59.2 131.43 30.60 41.1 0.0 5.0 324 33 -155 213 77 -59 -1.440 -1.820 3.260 1.520 2.630 0.336 279 25 4.576 25 30 -1.007 157 49 -3.569 4.073 23 C201501130526A 
2015/01/13 07:21:17.4 -112.48 -34.22 10.0 0.0 4.8 13 73 -11 107 79 -163 -1.020 -2.420 3.440 -1.780 -0.426 -5.100 239 4 6.430 138 70 -0.437 331 20 -5.993 6.211 23 C201501130721A 
2015/01/13 07:30:19.8 151.12 -5.14 141.6 0.0 4.7 170 64 -165 73 77 -26 -1.120 -1.120 2.240 -1.690 0.143 3.430 124 8 4.492 229 61 -0.437 29 28 -4.055 4.273 23 C201501130730A 
2015/01/13 11:16:28.2 -71.36 18.26 10.0 0.0 4.7 59 76 -13 152 77 -165 -0.386 -1.470 1.860 -0.505 0.185 0.997 285 1 2.136 192 71 -0.201 16 19 -1.932 2.034 23 C201501131116A 
2015/01/13 11:20:24.0 -14.25 -16.75 10.0 0.0 5.1 347 42 -131 217 59 -59 -2.970 -0.172 3.140 2.130 0.506 0.606 285 9 3.391 20 26 0.730 177 62 -4.123 3.757 23 C201501131120A 
2015/01/13 11:38:08.0 -14.25 -17.25 10.0 0.0 4.9 203 43 -55 339 56 -118 -1.930 0.032 1.900 1.060 -0.483 0.096 89 7 1.961 356 23 0.488 196 66 -2.447 2.204 23 C201501131138A 
2015/01/13 11:40:01.3 167.12 -45.55 88.9 0.0 4.7 232 68 161 330 73 23 1.260 3.860 -5.130 -2.150 0.779 -1.800 192 28 5.433 4 61 0.055 100 3 -5.498 5.465 23 C201501131140A 
