date time lon lat dep Mb Ms strike1 dip1 rake1 strike2 dip2 rake2  mrr mtt mpp mrt mrp mtp p_trend p_plu p_eigen b_trend b_plu b_eigen t_trend t_plu t_eigen scale exponent event_name 
2014/01/12 13:07:50.3 125.59 5.79 136.4 0.0 5.0 289 73 -16 24 75 -162 -0.125 0.661 -0.536 0.121 -0.340 0.634 156 1 0.935 63 67 0.029 247 23 -0.964 0.949 24 C201401121307A 
2014/01/12 20:24:46.7 -122.82 38.81 2.6 0.0 4.5 215 48 -61 355 49 -119 -1.510 -0.591 2.100 0.307 -0.108 0.790 105 0 2.315 15 21 -0.679 196 69 -1.637 1.976 23 C201401122024A 
2014/01/13 03:01:57.6 172.61 -20.38 10.0 0.0 4.3 75 76 -12 168 78 -166 -0.011 -0.931 0.942 -0.618 0.442 1.840 301 2 2.072 206 72 0.238 32 18 -2.309 2.190 23 C201401130302A 
2014/01/13 04:01:03.2 -66.81 19.04 20.0 0.0 6.4 81 27 15 337 83 116 0.814 -1.310 0.499 -1.260 3.220 1.590 273 46 3.888 153 26 0.171 45 33 -4.056 3.972 25 C201401130401A 
2014/01/13 10:55:19.7 95.88 -45.83 10.0 0.0 4.8 217 78 4 126 86 168 0.055 -0.734 0.679 0.105 -0.122 -0.206 81 11 0.736 290 77 0.037 172 6 -0.773 0.754 24 C201401131055A 
2014/01/13 23:03:41.2 -91.67 14.10 63.7 0.0 4.8 104 40 -127 328 59 -64 -1.920 1.400 0.513 0.202 -1.090 -1.550 39 10 2.718 134 22 -0.345 286 65 -2.380 2.549 23 C201401132303A 
2014/01/14 13:55:02.2 52.88 40.28 49.0 0.0 5.2 288 38 81 119 53 97 3.720 -3.100 -0.615 0.739 -0.730 1.320 60 81 3.880 295 5 -0.080 204 7 -3.796 3.838 23 C201401141355A 
2014/01/14 14:59:35.6 -173.28 -16.41 10.0 0.0 5.3 176 29 57 33 66 107 0.934 0.076 -1.010 0.582 0.646 -0.315 332 65 1.317 206 15 0.050 110 19 -1.368 1.343 24 C201401141459A 
2014/01/14 18:38:12.6 121.15 22.90 3.2 0.0 4.8 199 64 2 108 88 154 -0.180 -0.748 0.928 0.628 -0.454 -1.200 60 20 1.801 284 64 -0.322 156 17 -1.479 1.640 23 C201401141838A 
2014/01/15 08:38:08.8 -68.12 -31.14 104.7 0.0 5.2 182 74 -173 90 83 -16 -3.610 2.380 1.230 -1.640 -0.451 7.950 137 6 9.944 248 72 -3.545 45 17 -6.399 8.172 23 C201401150838A 
2014/01/15 13:02:23.3 78.64 -35.13 10.0 0.0 4.9 319 77 -171 227 81 -13 -1.010 -6.040 7.050 1.510 0.274 0.644 273 3 7.097 12 74 -0.616 182 15 -6.481 6.789 23 C201401151302A 
2014/01/16 01:12:17.7 142.82 40.12 51.8 0.0 5.1 191 26 78 24 65 96 4.090 -0.333 -3.750 1.570 3.040 -1.160 305 70 5.357 201 5 -0.030 109 20 -5.320 5.339 23 C201401160112A 
2014/01/16 03:41:46.8 166.63 -11.93 150.4 0.0 5.0 302 46 69 151 48 111 1.020 -0.493 -0.527 -0.216 -0.245 0.422 133 75 1.109 317 15 -0.176 226 1 -0.933 1.021 24 C201401160341A 
2014/01/16 04:48:54.1 126.47 1.39 44.9 0.0 5.0 193 43 90 12 47 90 3.690 0.362 -4.050 0.044 0.213 -1.030 280 88 3.696 13 0 0.591 103 2 -4.285 3.990 23 C201401160448A 
2014/01/16 07:33:09.7 -179.23 51.17 27.0 0.0 5.5 267 28 118 56 66 76 2.110 -2.150 0.045 1.460 1.260 -0.874 301 67 2.906 62 13 0.191 157 19 -3.092 2.999 24 C201401160733A 
2014/01/16 07:45:37.1 -179.12 51.11 25.2 0.0 5.0 277 17 149 37 81 75 1.280 -1.480 0.202 1.980 3.100 -0.569 290 51 4.143 39 14 -0.361 139 35 -3.780 3.961 23 C201401160745A 
2014/01/16 08:14:47.3 8.63 73.77 10.0 0.0 5.3 209 43 -94 35 48 -86 -3.740 1.080 2.660 -0.339 -0.167 1.580 122 2 3.650 212 3 0.114 352 86 -3.764 3.707 23 C201401160814A 
2014/01/16 17:47:35.0 90.28 31.87 46.5 0.0 4.8 326 80 -177 235 87 -10 -0.698 -4.080 4.780 0.692 0.345 1.760 281 5 5.155 37 80 -0.636 190 9 -4.516 4.836 23 C201401161747A 
2014/01/16 20:02:45.6 6.94 -54.07 10.0 0.0 5.2 104 41 -95 290 49 -86 -1.090 1.010 0.079 0.125 -0.102 -0.319 17 4 1.119 108 3 -0.017 237 85 -1.103 1.111 24 C201401162002A 
2014/01/16 21:38:00.5 6.98 -53.99 10.0 0.0 5.2 103 45 -102 300 47 -78 -5.520 4.550 0.969 -0.146 -0.891 -1.650 22 1 5.198 112 8 0.455 285 82 -5.654 5.426 23 C201401162138A 
2014/01/16 22:56:08.8 129.45 27.97 42.4 0.0 5.0 203 34 42 77 68 117 2.890 -2.030 -0.862 3.110 0.115 -2.620 24 58 4.621 246 25 0.360 147 19 -4.983 4.802 23 C201401162256A 
2014/01/17 21:02:41.0 -84.86 9.51 18.9 0.0 5.2 286 24 82 115 67 93 0.873 -0.822 -0.051 0.773 -0.379 0.344 31 68 1.217 293 3 0.076 202 22 -1.293 1.255 24 C201401172102A 
2014/01/18 05:00:42.5 142.35 28.90 14.0 0.0 5.3 157 29 65 5 64 103 1.380 0.163 -1.540 0.244 1.130 0.260 300 68 1.826 179 12 0.117 85 18 -1.940 1.883 24 C201401180500A 
2014/01/18 07:56:55.7 179.45 51.17 55.2 0.0 4.8 257 21 101 65 70 86 3.900 -3.610 -0.291 4.120 2.060 -1.310 328 65 6.028 67 4 0.123 158 25 -6.152 6.090 23 C201401180756A 
2014/01/18 08:14:47.2 179.29 51.06 44.2 0.0 4.6 262 31 107 63 60 80 3.310 -3.040 -0.273 1.530 1.180 -0.953 308 73 3.882 68 9 -0.079 160 14 -3.805 3.844 23 C201401180814A 
2014/01/18 22:19:28.5 -44.51 26.32 10.0 0.0 5.4 219 38 96 32 52 85 1.410 -0.475 -0.931 0.128 0.336 -0.684 278 82 1.458 35 4 0.012 125 7 -1.466 1.462 24 C201401182219A 
2014/01/19 00:52:36.2 156.09 49.25 32.8 0.0 4.8 206 35 74 46 56 101 2.590 -0.975 -1.610 0.999 0.397 -0.775 350 76 2.859 219 9 -0.557 127 11 -2.298 2.578 23 C201401190052A 
2014/01/19 02:38:08.1 172.52 -20.54 51.0 0.0 4.7 64 72 -4 155 86 -162 -1.440 -4.830 6.280 -0.760 2.000 4.510 289 10 8.161 167 72 -1.350 21 15 -6.801 7.481 23 C201401190238A 
2014/01/19 04:30:53.5 -107.92 -8.94 10.0 0.0 5.3 293 83 -5 24 85 -173 -0.085 0.742 -0.657 0.021 -0.125 0.655 158 1 1.001 59 82 -0.068 249 8 -0.934 0.968 24 C201401190430A 
2014/01/19 05:24:26.6 -108.28 -9.02 10.0 0.0 4.6 189 86 177 279 87 4 -0.040 0.327 -0.287 -0.080 -0.036 0.931 144 5 1.007 311 85 -0.046 54 1 -0.961 0.984 24 C201401190524A 
2014/01/19 05:30:38.4 -109.45 -10.10 10.0 0.0 4.5 285 80 -4 16 86 -170 0.205 2.170 -2.370 0.166 -0.907 3.870 150 4 4.409 37 79 0.335 241 10 -4.740 4.575 23 C201401190530A 
2014/01/19 07:17:10.5 91.51 1.35 10.0 0.0 4.9 64 24 69 267 67 99 1.490 -1.060 -0.424 -1.300 0.143 -0.267 194 66 2.058 84 9 -0.416 350 22 -1.636 1.847 23 C201401190717A 
2014/01/19 10:58:13.3 -88.80 12.91 55.7 0.0 4.9 294 39 93 110 51 88 4.610 -3.740 -0.873 0.909 -0.188 1.390 4 84 4.708 112 2 -0.315 202 6 -4.396 4.552 23 C201401191058A 
2014/01/19 13:41:58.4 138.20 9.07 34.0 0.0 4.9 207 36 81 39 54 97 2.190 -0.774 -1.420 0.581 0.398 -0.669 336 79 2.320 215 6 -0.382 124 9 -1.942 2.131 23 C201401191341A 
2014/01/19 15:33:14.3 93.81 32.92 37.5 0.0 4.7 64 61 -6 156 85 -151 -0.391 -1.110 1.500 -0.258 0.831 1.010 286 17 2.054 165 60 -0.371 24 24 -1.683 1.869 23 C201401191533A 
